chemical,map
CID-14433867,22814
CID-14418769,22815
CID-642820,22816
CID-10328447,22817
CID-23203,22818
CID-68556885,22819
CID-543511,22820
CID-90847460,22821
CID-44377567,22822
CID-6328391,22823
CID-24800679,22824
CID-44565646,22825
CID-45375953,22826
CID-159538,22827
CID-3048743,22828
CID-1515237,22829
CID-178558,22830
CID-685,22831
CID-79021564,22832
CID-3043997,22833
CID-57396935,22834
CID-82657,22835
CID-12001014,22836
CID-11627336,22837
CID-22482595,22838
CID-45481787,22839
CID-13876280,22840
CID-13373538,22841
CID-230282,22842
CID-90859105,22843
CID-23937,22844
CID-5318839,22845
CID-42644084,22846
CID-442702,22847
CID-25181046,22848
CID-10980336,22849
CID-151062,22850
CID-16129447,22851
CID-3627923,22852
CID-5372720,22853
CID-44292215,22854
CID-11709766,22855
CID-41495,22856
CID-52944738,22857
CID-132628,22858
CID-56669562,22859
CID-57005036,22860
CID-14389527,22861
CID-77062,22862
CID-3797280,22863
CID-90880789,22864
CID-54323209,22865
CID-54583296,22866
CID-72344,22867
CID-3890,22868
CID-11519624,22869
CID-90712856,22870
CID-10484004,22871
CID-69962,22872
CID-543693,22873
CID-90645021,22874
CID-10744557,22875
CID-126777,22876
CID-53331461,22877
CID-71798,22878
CID-24798144,22879
CID-3002103,22880
CID-62118,22881
CID-53890433,22882
CID-90932284,22883
CID-44404536,22884
CID-99345,22885
CID-91240919,22886
CID-15773116,22887
CID-9843775,22888
CID-6575,22889
CID-54246644,22890
CID-4317,22891
CID-23089551,22892
CID-159888,22893
CID-10430764,22894
CID-49863282,22895
CID-22754947,22896
CID-10028181,22897
CID-402874,22898
CID-46737736,22899
CID-11747,22900
CID-10270357,22901
CID-579132,22902
CID-5488006,22903
CID-22025858,22904
CID-15507825,22905
CID-45487946,22906
CID-201356,22907
CID-11105623,22908
CID-10901,22909
CID-90981328,22910
CID-11991894,22911
CID-429599,22912
CID-449896,22913
CID-3080918,22914
CID-85981342,22915
CID-21529635,22916
CID-72790,22917
CID-11017071,22918
CID-11456078,22919
CID-93001,22920
CID-53774094,22921
CID-623342,22922
CID-285697,22923
CID-24751631,22924
CID-90914799,22925
CID-10929285,22926
CID-83969,22927
CID-24936,22928
CID-11412342,22929
CID-93025,22930
CID-73354,22931
CID-21132912,22932
CID-44575414,22933
CID-10749461,22934
CID-162092,22935
CID-3383859,22936
CID-44593192,22937
CID-10841081,22938
CID-8119,22939
CID-15675885,22940
CID-57401812,22941
CID-21574489,22942
CID-12668478,22943
CID-12756209,22944
CID-189173,22945
CID-9918412,22946
CID-601271,22947
CID-2484,22948
CID-18615950,22949
CID-25128833,22950
CID-44267800,22951
CID-163063,22952
CID-25066518,22953
CID-15432633,22954
CID-54167179,22955
CID-12444279,22956
CID-982689,22957
CID-11596696,22958
CID-502256,22959
CID-57402843,22960
CID-12296715,22961
CID-16099440,22962
CID-5495926,22963
CID-24800297,22964
CID-25139490,22965
CID-22281845,22966
CID-11726200,22967
CID-91415209,22968
CID-9892498,22969
CID-444057,22970
CID-86245278,22971
