drug,map
CID-2202888,188218
CID-5351166,188219
CID-5478154,188220
CID-441082,188221
CID-10102380,188222
CID-49799650,188223
CID-11637459,188224
CID-11265091,188225
CID-3111211,188226
CID-10466405,188227
CID-44366173,188228
CID-44407138,188229
CID-46228435,188230
CID-10490084,188231
CID-44446277,188232
CID-6441511,188233
CID-10267538,188234
CID-11676786,188235
CID-44408965,188236
CID-5289085,188237
CID-10454085,188238
CID-24436,188239
CID-24883488,188240
CID-5288123,188241
CID-10138993,188242
CID-11988371,188243
CID-25154731,188244
CID-45487214,188245
CID-11414633,188246
CID-699665,188247
CID-5362391,188248
CID-11537051,188249
CID-23586146,188250
CID-44428832,188251
CID-10133,188252
CID-42632210,188253
CID-12018178,188254
CID-46880333,188255
CID-1604,188256
CID-9992527,188257
CID-9797108,188258
CID-6539791,188259
CID-441290,188260
CID-16645663,188261
CID-24868306,188262
CID-9847548,188263
CID-688829,188264
CID-10424517,188265
CID-5276531,188266
CID-14054762,188267
CID-21609882,188268
CID-44123300,188269
CID-11621347,188270
CID-44543260,188271
CID-3191600,188272
CID-25068753,188273
CID-16082784,188274
CID-21604934,188275
CID-49853637,188276
CID-11692221,188277
CID-57928403,188278
CID-5310983,188279
CID-44419706,188280
CID-46937065,188281
CID-5312109,188282
CID-16739650,188283
CID-6420118,188284
CID-46879644,188285
CID-11433918,188286
CID-44369651,188287
CID-45375987,188288
CID-65645,188289
CID-5472588,188290
CID-1728080,188291
CID-66577038,188292
CID-11610347,188293
CID-44418373,188294
CID-10154265,188295
CID-44592197,188296
CID-12238216,188297
CID-21883856,188298
CID-10754736,188299
CID-44157041,188300
CID-24901629,188301
CID-53316647,188302
CID-457954,188303
CID-446165,188304
CID-91827341,188305
CID-10489277,188306
CID-5311070,188307
CID-688424,188308
CID-6918095,188309
CID-53384387,188310
CID-16049783,188311
CID-444885,188312
CID-24795101,188313
CID-44448144,188314
CID-44241479,188315
CID-16134956,188316
CID-24867852,188317
CID-16528,188318
CID-11256587,188319
CID-10242258,188320
CID-11143173,188321
CID-11769428,188322
CID-46887381,188323
CID-445155,188324
CID-24905710,188325
CID-10691533,188326
CID-9399,188327
CID-227821,188328
CID-11434815,188329
CID-71540619,188330
CID-6917709,188331
CID-25108303,188332
CID-24239,188333
CID-45263259,188334
CID-25229537,188335
CID-5282309,188336
CID-14314512,188337
CID-10320311,188338
CID-44341278,188339
CID-44352919,188340
CID-3009363,188341
CID-46203501,188342
CID-134817252,188343
CID-44427176,188344
CID-45271804,188345
CID-5375570,188346
CID-53316721,188347
CID-853461,188348
CID-49782799,188349
CID-25231309,188350
CID-158797,188351
CID-5284592,188352
CID-445501,188353
CID-44234663,188354
CID-6398483,188355
CID-123639,188356
CID-9913857,188357
CID-46882764,188358
CID-44475209,188359
CID-65921,188360
CID-5326886,188361
CID-5466653,188362
CID-44420681,188363
CID-9810955,188364
CID-414708,188365
CID-11406508,188366
CID-11441375,188367
CID-446725,188368
CID-25080768,188369
CID-177336,188370
CID-44370998,188371
CID-5311433,188372
CID-2760216,188373
CID-11902976,188374
CID-23645372,188375
CID-49801966,188376
CID-448651,188377
CID-44391576,188378
CID-6444692,188379
CID-135326,188380
CID-5330528,188381
CID-57334219,188382
CID-16081932,188383
CID-447805,188384
CID-44368904,188385
CID-44575491,188386
CID-715794,188387
CID-12316406,188388
CID-10275242,188389
CID-213049,188390
CID-131704274,188391
CID-9867157,188392
CID-44310146,188393
CID-91827344,188394
CID-5311453,188395
CID-46232685,188396
CID-44395768,188397
CID-16736030,188398
CID-6439158,188399
CID-261394,188400
CID-12431921,188401
CID-9995335,188402
CID-44278361,188403
CID-24139,188404
CID-92824,188405
CID-4369380,188406
CID-5288149,188407
CID-369312,188408
CID-5282338,188409
CID-5287492,188410
CID-10019057,188411
CID-45267103,188412
CID-6540053,188413
CID-44452472,188414
CID-5289474,188415
CID-4756,188416
CID-10171886,188417
CID-91827383,188418
CID-44597650,188419
CID-10389852,188420
CID-11774008,188421
CID-6539808,188422
CID-44269079,188423
CID-154417,188424
CID-44410801,188425
CID-10087225,188426
CID-65110,188427
CID-24771259,188428
CID-6106,188429
CID-557705,188430
CID-159547,188431
CID-25223366,188432
CID-44565150,188433
CID-44456426,188434
CID-10308091,188435
CID-24316,188436
CID-71028,188437
CID-9803778,188438
CID-11821203,188439
CID-49798801,188440
CID-11557864,188441
CID-448661,188442
CID-23625208,188443
CID-157049,188444
CID-76328936,188445
CID-6918612,188446
CID-44543273,188447
CID-92153,188448
CID-46844318,188449
CID-24801699,188450
CID-9957008,188451
CID-91827365,188452
CID-135497698,188453
CID-7697,188454
CID-44572111,188455
CID-15566992,188456
CID-44412137,188457
CID-42647297,188458
CID-9782,188459
CID-10868634,188460
CID-1372,188461
CID-67462786,188462
CID-448025,188463
CID-44460796,188464
CID-54736428,188465
CID-5709436,188466
CID-11243969,188467
CID-44264251,188468
CID-16109427,188469
CID-10681942,188470
CID-25023709,188471
CID-57340686,188472
CID-9931685,188473
CID-70702462,188474
CID-76318115,188475
CID-13231190,188476
CID-70175,188477
CID-104838,188478
CID-10404061,188479
CID-44456105,188480
CID-11069133,188481
CID-11551123,188482
CID-44559101,188483
CID-11396738,188484
CID-44313051,188485
CID-44441193,188486
CID-5288708,188487
CID-438570,188488
CID-11572145,188489
CID-44592199,188490
CID-16219332,188491
CID-6481821,188492
CID-56603748,188493
CID-16736880,188494
CID-11268660,188495
CID-72429,188496
CID-46937439,188497
CID-11672950,188498
CID-16216218,188499
CID-45265746,188500
CID-447371,188501
CID-11311147,188502
CID-5311299,188503
CID-44452602,188504
CID-44437877,188505
CID-44393574,188506
CID-4369101,188507
CID-9920926,188508
CID-446345,188509
CID-11680542,188510
CID-69453339,188511
CID-52945289,188512
CID-4713438,188513
CID-5280585,188514
CID-337359,188515
CID-25180300,188516
CID-10378184,188517
CID-44390664,188518
CID-9887257,188519
CID-6539788,188520
CID-11472986,188521
CID-712421,188522
CID-27559,188523
CID-53358942,188524
CID-44549508,188525
CID-11183754,188526
CID-9547940,188527
CID-439260,188528
CID-56947057,188529
