gene,map
Entrez-6835,712
Entrez-100113391,713
Entrez-319101,714
Entrez-91,715
Entrez-646719,716
Entrez-50616,717
Entrez-150763,718
Entrez-4176,719
Entrez-440173,720
Entrez-27319,721
Entrez-353497,722
Entrez-8916,723
Entrez-19,724
Entrez-55785,725
Entrez-2281,726
Entrez-10086,727
Entrez-254042,728
Entrez-8091,729
Entrez-29894,730
Entrez-163081,731
Entrez-643923,732
Entrez-85289,733
Entrez-1840,734
Entrez-1604,735
Entrez-124599,736
Entrez-4705,737
Entrez-58493,738
Entrez-5228,739
Entrez-174,740
Entrez-643401,741
Entrez-55010,742
Entrez-7454,743
Entrez-100500875,744
Entrez-100130197,745
Entrez-81328,746
Entrez-1355,747
Entrez-337963,748
Entrez-84747,749
Entrez-134,750
Entrez-283553,751
Entrez-441009,752
Entrez-9093,753
Entrez-7447,754
Entrez-55889,755
Entrez-4084,756
Entrez-635,757
Entrez-388939,758
Entrez-3654,759
Entrez-161436,760
Entrez-400238,761
Entrez-3759,762
Entrez-117289,763
Entrez-56133,764
Entrez-51567,765
Entrez-79269,766
Entrez-389203,767
Entrez-554,768
Entrez-1417,769
Entrez-219968,770
Entrez-4633,771
Entrez-9597,772
Entrez-407001,773
Entrez-10713,774
Entrez-619554,775
Entrez-7871,776
Entrez-100131289,777
Entrez-140803,778
Entrez-9584,779
Entrez-1489,780
Entrez-346673,781
Entrez-5593,782
Entrez-80760,783
Entrez-6834,784
Entrez-157,785
Entrez-57696,786
Entrez-2845,787
Entrez-5613,788
Entrez-270,789
Entrez-165918,790
Entrez-3291,791
Entrez-100616226,792
Entrez-51222,793
Entrez-219931,794
Entrez-204851,795
Entrez-100861522,796
Entrez-2114,797
Entrez-4088,798
Entrez-406961,799
Entrez-407043,800
Entrez-130106,801
Entrez-100506649,802
Entrez-3812,803
Entrez-9073,804
Entrez-79760,805
Entrez-26772,806
Entrez-8148,807
Entrez-3394,808
Entrez-6280,809
Entrez-6590,810
Entrez-79598,811
Entrez-7364,812
Entrez-57617,813
Entrez-366,814
Entrez-126014,815
Entrez-1767,816
Entrez-442898,817
Entrez-286148,818
Entrez-729440,819
Entrez-54751,820
Entrez-931,821
Entrez-100873756,822
Entrez-100847088,823
Entrez-23753,824
Entrez-883,825
Entrez-100616480,826
Entrez-10652,827
Entrez-64799,828
Entrez-50604,829
Entrez-25788,830
Entrez-5764,831
Entrez-641298,832
Entrez-399726,833
Entrez-101,834
Entrez-533,835
Entrez-79735,836
Entrez-648809,837
Entrez-3667,838
Entrez-3872,839
Entrez-55143,840
Entrez-2903,841
Entrez-29890,842
Entrez-51281,843
Entrez-642819,844
Entrez-1944,845
Entrez-164668,846
Entrez-2998,847
Entrez-7095,848
Entrez-729288,849
Entrez-2961,850
Entrez-9942,851
Entrez-10178,852
Entrez-10875,853
Entrez-80317,854
Entrez-3135,855
Entrez-353376,856
Entrez-2963,857
Entrez-29937,858
Entrez-57655,859
Entrez-10573,860
Entrez-100527960,861
Entrez-6760,862
Entrez-2794,863
Entrez-80028,864
Entrez-8663,865
Entrez-116448,866
Entrez-83445,867
Entrez-100616251,868
Entrez-26133,869
Entrez-2568,870
Entrez-84765,871
Entrez-7267,872
Entrez-56978,873
Entrez-91663,874
Entrez-5833,875
Entrez-11325,876
Entrez-155370,877
Entrez-79577,878
Entrez-55217,879
Entrez-79596,880
Entrez-6364,881
Entrez-246705,882
Entrez-50805,883
Entrez-100422921,884
Entrez-3663,885
Entrez-114971,886
Entrez-124,887
Entrez-11098,888
Entrez-100422911,889
Entrez-406901,890
Entrez-693186,891
Entrez-9734,892
Entrez-5139,893
Entrez-140849,894
Entrez-2038,895
Entrez-55762,896
Entrez-283856,897
Entrez-10095,898
Entrez-100873935,899
Entrez-55315,900
Entrez-89874,901
Entrez-3064,902
Entrez-375295,903
Entrez-9381,904
Entrez-440423,905
Entrez-440600,906
Entrez-59284,907
Entrez-100506409,908
Entrez-2356,909
Entrez-9867,910
Entrez-201229,911
Entrez-79993,912
Entrez-283471,913
Entrez-644076,914
Entrez-388381,915
Entrez-388242,916
Entrez-80381,917
Entrez-79796,918
Entrez-2954,919
Entrez-114758,920
Entrez-2838,921
Entrez-81559,922
Entrez-36,923
Entrez-10954,924
Entrez-100533483,925
Entrez-57488,926
Entrez-25956,927
Entrez-442899,928
Entrez-54490,929
Entrez-164656,930
Entrez-27128,931
Entrez-653308,932
Entrez-78989,933
Entrez-2017,934
Entrez-23295,935
Entrez-100616352,936
Entrez-7263,937
Entrez-10436,938
Entrez-390261,939
Entrez-114614,940
Entrez-284110,941
Entrez-119392,942
Entrez-407007,943
Entrez-286967,944
Entrez-54583,945
Entrez-4828,946
Entrez-390157,947
Entrez-138255,948
Entrez-253738,949
Entrez-154860,950
Entrez-4697,951
Entrez-100506083,952
Entrez-4284,953
Entrez-1880,954
Entrez-84791,955
Entrez-729920,956
Entrez-100507632,957
Entrez-4324,958
Entrez-84034,959
Entrez-220906,960
Entrez-25814,961
Entrez-56955,962
Entrez-728661,963
Entrez-100616263,964
Entrez-5033,965
Entrez-79575,966
Entrez-1490,967
Entrez-84072,968
Entrez-23498,969
Entrez-3015,970
Entrez-284525,971
Entrez-5146,972
Entrez-8216,973
Entrez-7403,974
Entrez-100616313,975
Entrez-100532726,976
Entrez-79618,977
Entrez-286238,978
Entrez-2835,979
Entrez-407003,980
Entrez-7336,981
Entrez-158763,982
