drug_pubchemcid,disease_icd10
189743,204770
61415,207653
189743,207653
61415,204248
189743,204248
61415,208288
189743,208288
61415,207313
189743,207313
61415,204784
189743,204784
61415,204119
189743,204119
61415,207122
189743,207122
61415,206336
189743,206336
61415,205247
189743,205247
61415,204540
189743,204540
61415,205571
189743,205571
61415,208819
189743,208819
61415,206165
189743,206165
61415,203833
189743,203833
61415,203507
189743,203507
61415,208250
189743,208250
61415,207532
189743,207532
61415,207213
189743,207213
61415,206440
189743,206440
61415,208282
189743,208282
61415,208834
189743,208834
61415,206834
189743,206834
61415,205937
189743,205937
61415,203949
189743,203949
61415,204560
189743,204560
61415,206551
189743,206551
61415,208435
189743,208435
61415,204224
189743,204224
61415,205398
189743,205398
61415,208015
189743,208015
61415,208615
189743,208615
61415,205076
189743,205076
61415,207155
189743,207155
61415,208118
189743,208118
61415,204444
189743,204444
61415,208593
189743,208593
61415,203646
189743,203646
61415,205448
189743,205448
61415,208596
189743,208596
61415,203481
189743,203481
61415,208272
189743,208272
61415,207706
189743,207706
61415,205020
189743,205020
61415,204422
189743,204422
61415,204790
189743,204790
61415,204544
189743,204544
61415,206397
189743,206397
61415,205650
189743,205650
61415,208634
189743,208634
61415,208374
189743,208374
61415,205373
189743,205373
61415,207163
189743,207163
61415,206267
189743,206267
61415,204398
189743,204398
61415,205687
189743,205687
61415,203703
189743,203703
61415,208512
189743,208512
61415,208756
189743,208756
61415,204858
189743,204858
61415,205166
189743,205166
61415,206085
189743,206085
61415,203690
189743,203690
61415,203898
189743,203898
61415,206740
189743,206740
61415,204991
189743,204991
61415,207260
189743,207260
61415,207627
189743,207627
61415,204056
189743,204056
61415,207634
189743,207634
61415,204192
189743,204192
61415,204800
189743,204800
61415,206410
189743,206410
61415,208354
189743,208354
61415,203529
189743,203529
61415,207802
189743,207802
61415,205657
189743,205657
61415,208145
189743,208145
61415,204285
189743,204285
61415,207038
189743,207038
61415,208782
189743,208782
61415,203404
189743,203404
61415,207768
189743,207768
61415,208060
189743,208060
61415,208452
189743,208452
61415,206218
189743,206218
61415,207018
189743,207018
61415,205479
189743,205479
61415,203893
189743,203893
61415,208703
189743,208703
61415,205225
189743,205225
61415,206040
189743,206040
61415,204171
189743,204171
61415,205488
189743,205488
61415,207415
189743,207415
61415,208110
189743,208110
61415,206202
189743,206202
61415,207952
189743,207952
61415,205069
189743,205069
61415,204365
189743,204365
61415,204342
189743,204342
61415,205545
189743,205545
61415,204166
189743,204166
61415,204296
189743,204296
61415,204596
189743,204596
189743,206830
61415,206086
189743,206086
61415,205965
189743,205965
61415,206342
189743,206342
61415,203255
189743,203255
61415,204382
189743,204382
61415,208652
189743,208652
61415,207205
189743,207205
61415,208419
189743,208419
61415,207465
189743,207465
61415,207578
189743,207578
61415,207827
189743,207827
61415,206355
189743,206355
61415,205691
189743,205691
189743,204937
189743,204604
189743,206268
61415,203745
189743,203745
61415,206627
189743,206627
61415,205014
189743,205014
61415,206654
189743,206654
