drug_pubchemcid,target_entrez
191055,2589
200345,8801
200345,15099
200345,2589
189000,15099
189000,2589
198036,15099
198036,2589
202075,8801
202075,15099
202075,2589
201468,8801
201468,15099
201468,2589
196703,8801
196703,15099
196703,2589
188344,15099
188344,2589
202113,15099
202113,2589
199665,22159
192725,22159
196560,8801
196560,2589
199403,2589
199897,18106
200539,16132
189922,5962
189922,14268
128434,750
195816,15061
197752,14016
191121,14016
192367,14016
195268,14016
195106,18664
195106,14016
199616,14016
189427,14016
192037,9158
193304,750
190762,8801
190762,22159
190762,2589
198503,22159
198503,2589
196494,8801
196494,22159
196494,2589
200564,1269
188006,12858
202541,12858
197480,11133
187767,11133
156109,8801
192524,12858
201062,18156
189209,4470
189209,13868
197050,13868
198990,13868
198701,5218
198206,5218
199067,5218
191872,8801
191872,2589
196649,8801
192795,8801
189828,8801
189828,2589
196063,8801
196063,2589
140194,12699
197081,19042
197239,19042
201280,22030
201280,12699
194300,10362
190101,10362
192191,10362
200930,10362
201330,10362
198326,10362
194486,10362
199912,10362
199282,8801
199282,2589
202636,8801
202636,2589
200508,8801
200508,2589
194468,4333
194468,11230
190962,17214
196322,1243
196322,17214
66494,17214
197448,10648
132720,6906
195435,11133
191111,19042
197475,19042
191496,7337
191496,19042
191496,10884
191496,6822
191128,5218
130488,18664
130488,14016
194619,11133
191785,21060
196519,20313
196519,7032
196345,6893
196345,20313
196345,17082
196345,10684
200560,18156
190609,18156
202089,18156
203027,18156
202893,259
197693,2589
191477,2589
198278,2589
199963,15404
199963,7902
196545,7902
196831,18124
190518,12858
193019,12858
199128,12858
187715,10965
192865,10965
200001,10965
188761,12858
201590,8801
201590,15099
201590,2589
201416,8801
201416,15099
201416,2589
197261,6214
202200,1003
198348,22159
189362,22159
201412,22159
194680,22159
188562,22159
194340,22159
203019,22159
190253,22159
196575,22159
196790,22159
194352,22159
146629,17265
193006,20063
188340,22159
192341,22159
199731,6024
199731,10595
201145,11979
189579,6210
194311,4525
194311,8314
190625,13867
196360,14637
196360,7454
187707,14637
187707,7454
189422,15517
192094,2589
189500,6210
199671,6210
199489,6210
199581,1492
198975,1492
199124,1492
193088,1492
197874,1492
187567,1492
191960,1492
199178,1492
200717,1492
196960,1492
191163,11753
144342,6210
144342,6682
188678,3626
188678,2272
198350,14868
198350,7902
190455,14868
190455,7902
129579,13592
203032,15204
203032,6214
192799,6214
194877,19050
199191,6214
202878,8276
202878,13557
202878,9476
188600,11247
188600,14538
194599,12158
188181,6514
200421,8801
201756,10362
199520,10362
201584,2272
188423,2272
188907,2272
201832,2272
128305,11133
191800,13689
191800,17726
191800,5531
192163,7862
191175,6893
191175,7032
193241,6893
193241,7032
188719,7032
155582,22274
155582,18664
179538,10022
179562,14907
179562,4549
194934,12585
192817,5431
193689,5431
201535,5431
196221,5140
187865,19163
120902,17367
120902,9579
193927,2500
103336,11979
103336,15186
201475,18974
65278,13908
65278,21787
196704,5430
202181,6555
192183,18156
191621,16649
70280,19282
195174,18974
61397,92
61397,16132
77554,92
189657,92
62693,22159
197513,3591
200935,5355
158333,10648
198896,9898
198304,4427
201588,14586
190064,20313
190064,7032
198881,7775
197210,3974
144399,10362
144399,13867
192308,4182
192308,18974
132061,3492
41530,15099
188909,12339
188909,687
188909,6628
199031,20559
189330,17753
202244,17753
189266,17753
202980,7775
196822,6428
196822,5918
196399,22100
188586,493
188458,493
182595,3058
182595,14191
182595,4030
182595,14082
182595,2653
182595,2444
182595,18201
182595,17818
182595,4973
182595,391
182595,8209
182595,16848
182595,3262
182595,4648
182595,17955
182595,17324
182595,7750
182595,12420
182595,19225
182595,17434
182595,13800
182595,2867
182595,15451
182595,19660
182595,19375
182595,21948
182595,12184
182595,11891
182595,14381
182595,10783
182595,18167
182595,3397
182595,19494
182595,96
182595,16391
182595,11734
182595,15509
182595,3986
182595,6294
182595,9346
182595,20990
182595,6868
182595,18588
182595,4667
182595,18183
182595,19754
182595,6061
182595,14506
182595,15477
182595,22152
182595,16834
182595,1724
182595,11481
182595,11250
182595,19792
182595,8009
182595,19534
182595,8489
182595,11971
182595,3492
182595,2708
182595,14493
182595,16271
182595,16923
182595,36
182595,21569
182595,20411
182595,18674
182595,9703
182595,9283
182595,19790
182595,19624
182595,10771
182595,9220
182595,989
182595,20593
182595,13100
182595,15042
182595,3982
22713,22255
22713,10648
84577,18600
150890,13728
114645,10116
197522,21622
190582,8497
189569,8497
199202,15769
199202,22069
200518,4242
188857,4242
197304,4242
193790,4242
199227,4242
190359,18664
194378,10362
197434,10362
99998,19113
99998,18464
99998,7557
99998,17955
99998,12295
99998,21287
99998,21733
99998,10022
99998,16454
99998,20923
99998,8136
99998,8167
165995,16275
198732,19298
199138,18827
194987,21719
199434,12158
192661,5822
192661,13268
192661,18040
192661,4716
193611,10222
189901,5218
72828,6868
202634,10362
76468,12046
193140,11133
180425,17367
196961,22274
100244,6192
100244,12158
100244,18750
100244,15793
100244,15916
100244,5168
100244,11016
100244,19342
100244,19187
100244,3089
188350,15776
195499,1933
68396,13323
195947,7890
188335,6294
79893,8163
79893,8398
148046,5738
148046,15826
148046,15179
189392,21287
189392,10022
189392,21267
189392,14586
189392,2785
189392,19628
189392,6555
188432,18875
76698,10362
107685,9667
107685,18901
31802,5306
188607,8218
198425,8218
195240,15660
196738,22100
187611,11979
202536,5727
201826,5140
98625,1667
175772,4333
175772,11230
91126,11473
194552,12585
190450,10965
195861,7221
195861,6428
195861,5918
91404,21269
201216,13630
201216,21948
201216,8470
201216,14586
201216,7584
201216,2390
201216,11985
201216,6868
201216,3886
201216,2876
201216,11250
201216,19792
201216,19037
201216,19790
201216,4549
170227,6434
201111,18998
201111,6979
187647,1933
194687,20592
188516,18974
197689,8801
197689,15099
197689,2589
90285,3720
160135,493
160135,9346
160135,22152
193529,16649
193529,17074
193529,17367
182389,8297
198310,15832
201480,16950
201480,5794
201480,11378
201480,3615
201480,12791
201480,3182
196443,2327
144465,15061
190664,18974
193199,9996
189674,9996
187700,6294
131424,13630
131424,19790
199858,10116
198827,12388
190738,4900
94411,7735
94411,6428
196734,21622
132243,19790
162255,20810
162255,21622
201203,21622
194654,21622
135897,21622
189559,21622
201729,10362
201729,13867
189406,22030
202393,1556
188740,8218
200385,5281
202390,10362
198941,10362
187946,10362
199635,10362
199635,13867
203034,6294
199096,3587
190575,1314
198342,10362
193458,10362
190985,10362
53483,14696
189679,14696
194232,12232
140165,22030
140165,2758
140165,5962
140165,12699
140165,11078
51344,10222
190050,10222
38239,6209
38239,19225
38239,6294
38239,20899
38239,14506
38239,8643
189718,15832
199244,21787
193818,22159
195296,22159
192988,22159
200086,22159
188369,22159
191378,19042
201322,7337
201322,19042
201322,10884
198364,12165
198364,4674
83283,4740
77476,21761
77476,1869
77476,21275
116606,10819
116606,8801
116606,15099
116606,22159
116606,2589
28587,8801
28587,15099
28587,22159
28587,2589
58617,8510
58617,3742
65206,1314
190201,12699
190201,18460
188273,22030
127976,9346
127976,3492
127976,20669
47680,12508
47680,13908
47680,1314
188619,2653
141690,13689
141690,17726
141690,5531
141690,10047
141690,4948
141690,4048
201032,12963
201032,7470
190393,16690
192896,12016
59298,19050
201556,177
192680,18974
197725,18974
198152,18974
193576,18974
189628,16649
189628,17074
189628,17367
188628,14868
198283,14868
189249,19652
203215,16950
203215,7806
187866,12585
188471,16391
194281,20664
202528,17158
202528,5222
202528,19151
188644,10362
48857,22274
48857,12331
48857,5060
48857,16264
48857,18664
48857,5670
48857,7495
48857,16567
194000,8470
193756,19652
193756,17796
136109,10362
193893,10362
55891,15477
199908,15477
191090,15477
188915,15477
189719,12585
200126,18664
199135,18664
187695,18664
192020,18664
195391,18664
193338,17074
189890,5871
138114,16849
138114,12117
138114,6513
138114,20048
138114,9824
138114,19298
138114,11066
191158,3800
189486,6428
189105,6428
72868,4333
72868,11230
102245,6843
102245,17620
102245,10022
102245,20507
102245,20048
102245,3851
102245,4018
102245,7492
102245,7898
102245,17790
102245,9579
189878,402
189878,21787
188004,493
193145,10362
193145,13867
200040,10362
200040,13867
192433,10362
192433,13867
202672,6428
198010,22097
200922,11979
200922,15186
189852,14517
202969,13183
66011,14500
104030,2261
193496,493
161946,8470
194010,8470
194010,9532
196574,19225
157615,13191
194348,18045
194348,22100
202432,9346
202432,22152
202432,3492
202432,20411
202432,16831
196056,9346
196056,22152
196056,3492
196056,20411
40228,17074
194683,9346
194683,22152
194683,17074
194683,3492
194683,20411
195176,19225
195176,9346
195176,19754
195176,14506
195176,22152
195176,3492
195176,20411
194710,6428
202751,5842
202751,12607
202401,17158
202401,5222
202401,19151
200969,17158
200969,5222
200969,19151
201144,17158
201144,5222
201144,19151
188954,17158
188954,5222
188954,19151
200280,7735
189752,18156
193165,7735
199374,6555
187520,6555
198060,22274
78151,16293
78151,4973
78151,16848
78151,17955
78151,17324
78151,19225
78151,11891
78151,14381
78151,10783
78151,19934
78151,14506
78151,18674
188240,20048
196979,17074
201000,12046
200417,7735
200417,3982
195712,19534
190123,8470
126514,15099
135459,6555
122154,18664
120666,4964
120666,20795
195974,19398
195974,2520
195974,14586
195974,838
201477,19398
201477,2520
201477,22115
201477,1314
189593,11665
189593,9346
189593,22152
122183,6428
190460,6428
189913,2924
189913,6428
189913,8136
189913,6294
187714,6428
188861,12096
191761,15477
200301,2589
169232,3986
138205,2327
138205,13181
140376,22254
187902,493
197526,16212
193959,7735
193959,5794
193959,11734
193959,3982
202897,8801
202897,2589
194924,13560
188938,6535
188938,13560
190774,12969
158950,3089
192629,19652
199714,15477
190494,15477
202667,10166
190293,10166
195198,18827
190520,22100
188898,18124
31173,1667
31173,20471
191953,18124
201230,18974
44086,15199
44086,14191
44086,2444
44086,15354
44086,17818
44086,16293
44086,4973
44086,16848
44086,3262
44086,17955
44086,17324
44086,5281
44086,19225
44086,12508
44086,19330
44086,10022
44086,15451
44086,18750
44086,19660
44086,12184
44086,11891
44086,14381
44086,10783
44086,4874
44086,15631
44086,6481
44086,9346
44086,20990
44086,18588
44086,18183
44086,7940
44086,8637
44086,6465
44086,13908
44086,15774
44086,19754
44086,14506
44086,15477
44086,22152
44086,16834
44086,11481
44086,11066
44086,19534
44086,3492
44086,274
44086,14493
44086,16923
44086,20411
44086,18674
44086,9703
44086,21787
44086,9220
44086,9812
44086,9111
44086,20702
44086,20593
44086,3437
44086,9579
194553,12699
196794,12699
175424,9960
193561,19725
146607,17267
120278,12440
120278,1217
120278,21745
120278,1667
120278,18303
120278,10209
190053,22100
188123,12585
194612,19225
192225,19225
196654,19225
201765,12585
74409,5140
193507,5140
199915,13559
55708,10022
55708,6434
191379,10022
191379,6434
88751,17158
88751,5222
88751,19151
192537,12966
23069,11309
193248,19494
193248,96
193248,6294
200772,8497
196868,22257
196868,10022
196868,14586
201896,17158
196554,1752
196554,210
200557,1752
200557,210
193888,1752
193888,210
188030,1752
188030,210
196053,1752
196053,210
196586,22254
190308,7470
153542,19113
153542,8297
153542,16454
153542,19938
153542,19282
153542,8148
194592,11133
194592,22159
152630,19113
152630,8297
152630,19932
152630,7975
152630,19282
152630,18405
136347,10217
136347,18045
136347,22100
196614,5335
196614,7735
196614,5918
196614,3982
203003,12016
197754,12699
191963,16212
98331,15440
26855,17753
150494,17753
202276,11165
97637,11165
199221,18827
132433,5355
167964,14522
196909,19050
196909,177
193096,21622
194092,8801
194092,15517
194092,2589
194245,8801
194245,15517
198802,8801
198802,15517
199399,8801
199399,2589
198781,8801
198294,8801
198294,15517
56646,16848
56646,17324
56646,19225
56646,11891
201323,15606
136312,10855
136312,21858
191856,15186
193104,17973
193104,15816
193104,18603
39129,22274
39129,12331
39129,1003
39129,18664
39129,4828
194048,20592
39387,8470
62750,9158
200125,9158
99303,1752
33710,10362
202546,493
188783,8801
188783,2589
191142,8801
191142,2589
200413,10362
189793,18974
203232,18207
95514,18827
199276,7775
201435,18664
201435,14016
201296,18664
201296,14016
150540,1752
150540,22257
150540,20048
150540,2876
191713,7735
191713,3982
191096,21622
23623,21622
23623,12328
199620,22030
199620,12699
168724,11309
194912,2589
190097,9111
189114,13560
191951,20923
60393,14082
60393,2444
60393,18201
60393,16293
60393,14873
60393,7557
60393,17692
60393,5281
60393,20923
60393,19496
60393,19187
60393,14493
60393,36
60393,20669
119570,14696
84382,22239
198624,18827
196199,18156
173521,5335
173521,12362
173521,4714
173521,2265
201606,7402
188970,7402
195014,7402
189200,14538
193710,13976
195849,3800
103998,7221
103998,6428
103998,5918
168602,7221
168602,6428
168602,5918
129369,18126
129369,8136
129369,13559
129369,10982
129369,6978
134689,12585
191040,19042
154619,20549
194109,8218
189438,6024
202245,18156
142251,431
191280,10116
193846,19225
106407,18169
106407,16454
106407,12117
106407,2982
202099,13778
202099,18183
202099,3587
202099,3437
198365,1752
198365,210
195129,16916
193742,18424
191559,18424
193786,18424
190799,18424
200716,302
200716,14362
200716,12836
190184,13323
197042,4879
200151,6428
196367,6428
196367,5918
196797,6428
196797,5918
197932,20063
197375,20063
202642,18827
196895,6428
188578,493
114345,12585
193598,16297
196163,5624
196163,13620
196753,821
190700,6434
190946,6434
197411,6024
197411,10222
187534,8801
187534,15099
187534,2589
202021,13340
194984,19163
191174,8900
201522,8900
189948,12969
197768,12969
188675,12969
38874,19497
82274,17299
201426,10362
201426,13867
196104,177
72624,1215
188250,6428
192920,6428
191364,493
200898,14237
186279,19485
198238,11979
202318,11979
197858,11979
66920,17753
195906,17753
197996,6245
193892,1010
189464,6428
178374,19225
200046,11979
96277,493
96277,3144
197843,18750
103009,18172
195298,16132
190733,8609
200182,17796
200182,14574
190860,10702
189108,8801
189108,2589
192193,6294
34731,493
196815,11133
200133,6428
195279,6428
191412,6428
193552,13791
185460,23
199382,15328
199968,4964
189797,6893
189797,17082
189797,10684
189299,11309
192355,6893
192355,20313
192355,7032
188153,20313
198984,16475
142109,6893
142109,20313
195521,18124
191494,17796
191494,14574
88634,19045
187966,19050
42103,5218
55902,22274
193505,750
194038,15067
194038,8555
202648,13867
191286,18974
76591,19769
76591,8497
54267,2441
198853,12699
200865,1370
193223,2663
199000,12232
187924,12232
200038,18183
189911,22100
63097,19788
63097,6295
63097,16649
63097,7340
63097,17074
63097,11066
63097,16831
182119,6294
191945,3591
203182,20313
194645,21780
201513,13701
202161,937
