target_entrez,disease_icd10
11667,203972
4652,203972
12126,203972
16288,204055
20635,206000
10722,206000
14022,206000
17649,206000
20741,206000
16288,206768
21574,207161
19017,207161
551,206364
13334,206040
14136,206040
647,206040
10908,206040
11493,206040
18730,206040
20623,206040
18407,206040
9437,206040
16627,206040
17649,204021
16,208007
1786,208007
9540,208007
10686,208007
3057,207332
5546,207332
14182,207332
19017,207332
12126,207332
19389,207749
647,207749
10722,207749
10908,207564
19389,204604
10378,205944
943,205944
21320,207398
7229,207398
21320,205031
17628,203661
16288,203661
16091,204269
19903,204269
7177,204269
2094,204269
20174,204269
20829,204269
551,206068
187,208696
15870,208696
15296,208696
22137,208696
1533,208696
17899,208696
2374,208696
7615,205427
5087,205427
19114,205427
13032,205427
211,205427
17631,205427
19545,205427
14794,205427
3263,205427
17649,205427
14119,205427
20412,205427
17737,205427
1533,205427
5773,205427
4899,205427
4840,205427
13993,205427
16807,205427
10364,205427
10725,205427
4406,206684
20780,208640
647,207161
21320,204994
13974,204994
187,207332
14123,207332
17767,207332
17649,207332
20741,207332
551,203394
21686,206768
21042,206768
20741,206768
17906,203972
8968,203972
5009,207567
1533,207567
17889,207567
266,207567
19711,207332
551,203972
4406,208639
187,203469
187,206395
15554,204994
15024,204994
21320,203707
19711,203707
13334,203707
799,203707
13974,203707
11493,203707
17889,203707
7527,203567
9932,203567
20741,203567
9452,207874
21320,204931
1972,203972
187,203538
1325,203972
890,207874
18815,207874
6796,207874
3614,207874
7044,207874
15024,207874
15554,207874
17032,203972
14081,203972
9095,204974
5009,204974
12804,204861
1046,204861
13926,204861
11755,204861
4467,204861
3638,204861
9452,204861
17643,204861
15024,206289
551,203366
1891,208696
2928,208696
8933,208696
16399,208640
16379,208640
2861,204994
13903,206407
20635,206407
10908,206407
2312,206857
551,204372
13847,204630
3509,207332
12160,207332
4553,204055
187,204055
16918,204055
647,205091
7416,205091
8150,207567
943,204994
8852,205263
13974,204807
9957,206407
3619,204543
20635,204202
16627,207161
16,204604
1972,208245
4406,208245
15296,208245
11664,204202
9095,204202
187,204202
8578,204202
21535,206289
16593,206289
15791,203722
2019,203722
551,203722
551,204021
551,206289
8174,206342
11851,203469
11851,206395
9932,203469
9932,206395
2558,203469
2558,206395
20635,205944
551,206060
21574,204595
16091,207580
21766,207580
18262,207580
6837,207580
14022,207161
11820,207161
11664,205097
10378,205097
20635,205097
551,205097
5009,205097
20741,205097
8150,204931
943,204931
817,204931
17819,208640
2002,204630
17207,208245
15694,208015
22130,208015
623,207205
623,207827
623,206355
623,205691
623,204937
623,204604
623,206268
623,204056
623,208652
623,206830
623,203745
623,206627
623,205014
623,206654
623,203526
623,207646
623,207990
3346,207205
3346,207827
3346,206355
3346,205691
3346,204937
3346,204604
3346,206268
3346,204056
3346,208652
3346,206830
3346,203745
3346,206627
3346,205014
3346,206654
3346,203526
3346,207646
3346,207990
187,208241
16091,204630
11664,204630
4467,204630
18262,204630
1029,204630
18645,204543
6272,204543
10686,204543
5009,204543
17906,204543
8968,204543
3057,206610
9437,207646
15694,204495
13796,204495
1769,204495
3818,204495
551,206028
17628,207332
9545,206672
4342,204055
1325,204055
11664,204055
623,204055
13115,204055
15024,204055
12037,204055
1786,204055
8020,204055
14123,204055
17767,204055
18931,204055
11100,204055
11518,204055
20741,204055
13903,208015
8092,208015
20335,208015
17207,208015
20635,207456
17628,207926
20741,204961
20741,207198
20741,205117
20741,205652
20741,205980
20741,205553
20741,206758
20741,206334
20741,208714
20741,206781
20741,203957
20741,207858
20741,204632
20741,208403
20741,207790
15694,206768
13903,206768
19389,208015
17649,203972
9452,203972
15694,203249
20635,205250
14685,205250
5952,205250
10745,205250
6796,207737
4534,207737
5056,207737
551,207737
16627,207737
13903,204931
1113,208201
7527,208245
17906,207266
8968,207266
2312,206768
21320,207926
884,207926
14434,207683
647,205364
11664,205364
10378,205364
9095,205364
20635,205364
13334,205364
11813,205364
13306,205364
6709,205364
1029,205364
18739,205364
7743,208091
7743,204630
20635,204055
2113,204055
266,204055
9975,207332
2002,208015
14291,208015
22021,208525
9547,206857
14588,206857
17032,207120
4342,207332
13903,207332
2861,206289
12395,206000
19711,207790
10378,207790
9095,207790
13306,207790
551,207790
2113,207790
7253,207790
8174,207332
3377,207332
799,204994
16288,204994
22179,204994
17906,204710
18830,207161
20635,207161
11813,208245
8092,208245
8968,204630
6796,208593
3614,208593
13974,208593
14123,208593
21686,208593
8174,208593
6796,208245
3614,208245
14123,208245
21686,208245
8174,208245
18845,206289
3614,207749
3614,204737
13974,204737
19821,204737
1810,204737
2861,204737
5819,204737
16240,204737
1179,204737
2351,204737
551,206342
13334,208245
12160,208245
6236,208245
4467,207332
22021,207332
9706,207332
9957,207332
17628,206086
20635,206086
8092,206086
18730,205944
9706,205944
19862,206768
8150,206768
1810,206768
551,208015
9545,204202
2419,204202
2019,204202
12037,204202
551,204202
21686,204202
817,204202
20335,204202
16627,204202
16399,204202
13940,204202
11484,204202
4652,204202
10987,204202
17916,204202
18739,204202
551,208211
16288,206857
13974,208371
16288,208371
10722,208371
12395,208371
8859,208371
551,206055
1029,206055
22021,208245
19903,205091
13814,205091
17916,205091
1972,206307
19389,206218
9932,206218
20623,206218
18407,206218
10686,206218
18262,206218
13903,204604
551,204604
19389,205944
17447,205944
13903,205944
10743,205944
20623,206342
2419,207749
16981,207161
14328,208015
943,208015
647,206181
13903,206181
9095,206181
551,206181
16288,206181
21686,207332
13814,207332
10386,203567
18815,206726
6796,206857
551,208091
551,203319
551,206897
551,204886
551,207742
15156,208015
11484,208245
11518,208245
19172,208245
10235,208245
647,205000
19513,205000
1113,206289
10575,205946
9492,205946
16529,204630
9706,204630
15650,204630
14434,204630
10378,208579
16627,208579
5009,208579
11135,208579
20174,208579
19711,204994
19070,204994
17916,204994
12126,204994
13306,206768
19513,206768
18730,206768
1533,206768
21320,204124
5009,204124
15911,204124
22116,204124
19308,204124
7478,206610
10908,206610
9832,206610
9547,206610
8378,205263
17664,205263
2856,205263
9540,206768
14081,203957
551,207668
18830,207332
13302,207332
22116,207332
647,208245
18262,208245
17906,205776
8968,205776
2861,204178
943,204178
16091,207567
7416,207567
890,208105
890,203943
11664,203943
10378,203943
118,203943
21042,203943
8578,203943
17889,203943
9304,203943
13903,206361
4342,205084
1029,205031
2002,206768
17664,206768
21320,207749
17032,204604
8128,204604
4467,204604
13814,204604
11407,204604
21320,207962
19862,207962
9932,208245
17889,208245
16091,207267
15024,206055
11813,206055
9540,206055
18730,206055
8020,206055
21686,206055
10722,206055
16399,206055
1533,206055
5546,205944
11664,207266
13847,207266
8020,207266
14182,207266
20623,206000
9437,206000
14650,206000
1198,206000
8685,206000
4591,206000
551,207926
21320,204604
551,203436
15156,207205
15156,207827
15156,206355
15156,205691
15156,204937
15156,206268
15156,204056
15156,208652
15156,206830
15156,203745
15156,206627
15156,205014
15156,206654
15156,203526
15156,207646
15156,207990
7177,207205
7177,207827
7177,206355
7177,205691
7177,204937
7177,204604
7177,206268
7177,204056
7177,208652
7177,206830
7177,203745
7177,206627
7177,205014
7177,206654
7177,203526
7177,207646
7177,207990
8020,207683
4406,207032
9932,206055
10450,206055
17889,206055
21320,203972
18815,208245
14123,203249
21203,203249
10378,207319
9095,207319
20635,203463
1972,203463
8881,206218
17032,203957
20635,203957
13974,203957
2861,203957
6727,203957
4406,203957
551,203957
10686,203957
551,204178
8092,204178
14081,204677
10908,206768
8092,203608
20635,208245
20635,208840
551,206218
9095,207266
551,207266
8092,207266
6796,204399
3614,204399
6303,204399
4652,204399
19657,204399
8092,204202
2131,204202
6261,204202
3237,204202
7229,204202
14403,207213
884,207213
21244,207213
20412,207213
2430,207213
1725,207213
943,206289
9095,204630
8020,204630
14291,204630
20741,204630
20635,207266
890,207032
3540,204106
551,204106
