chemical_pubchemcid,protein_entrez
122257,92
122257,16132
187356,16132
159250,11309
55011,19790
171788,8348
137000,8348
34026,16916
140707,10346
75094,10346
23487,11172
111445,19725
29548,3030
64694,17851
64694,8858
157044,19758
84134,4911
84134,8947
129964,13112
129964,21846
129964,18133
129964,17930
23759,2760
57028,6718
34237,8218
155218,23
54054,11218
139972,21519
139972,18424
108087,21893
90288,543
90288,10969
125945,5794
124652,12607
171562,10879
170949,15832
118755,19398
157399,19398
157399,2520
121735,16132
140933,14897
121177,750
51315,12913
51315,22117
51315,15811
51315,5351
51315,17372
51315,15003
51315,18303
51315,21101
51315,13603
51315,3615
51315,7520
51315,2138
51315,13009
51315,353
51315,12556
51315,4639
51315,9460
51315,21749
80719,19187
36535,5774
177019,954
27428,954
99337,954
45383,954
84445,954
64117,954
136377,954
31151,954
132656,954
78041,954
144701,954
43974,954
151405,954
83760,17050
23993,11133
128794,11230
38908,4333
38908,11230
136002,17955
136002,19225
157366,1408
81475,12027
81475,15517
101250,8801
101250,2589
65401,8801
65401,2589
80053,18750
142775,18750
53770,6465
166885,8801
31738,8801
31738,2589
168425,4354
52912,4354
102717,4354
118567,19398
124331,11252
156223,10116
34616,2272
133009,12699
157099,12699
75257,16391
52274,11195
109453,13560
87361,20508
87361,15737
165621,15457
178402,15457
69144,10222
133773,6294
135336,6294
80519,18664
180625,6893
68848,2327
159176,6893
109900,6024
181356,6024
121818,15099
118783,4731
118783,11215
118783,1444
35736,20048
161832,22159
161832,2589
46393,16305
46393,7271
45887,10022
45887,15179
160657,7921
91335,6555
59858,4740
25123,10982
49564,14736
49564,9451
22722,9809
22722,5596
101069,9809
101069,5596
53009,9809
173810,9809
78111,19299
139521,6576
96153,19456
146730,15186
24059,17720
75208,8801
112701,13914
104344,3974
108247,6893
108247,20313
176260,6893
173006,6893
137665,6214
126380,18750
168145,10843
43352,3863
43352,9760
43352,11103
43352,21135
43352,7345
43352,14364
43352,13636
43352,1904
43352,18468
43352,6707
43352,15430
43352,19159
43352,17423
57779,13560
75687,10843
163786,18750
28245,17209
28798,17209
161538,17209
103722,19418
39658,1425
39658,16875
97768,4144
68123,4144
88510,19187
174985,8871
174985,15890
132527,4712
170221,20934
170221,13023
106892,4973
123861,18349
123861,7346
118366,12345
130692,17158
130692,5222
130692,19151
24741,17158
24741,5222
24741,19151
75584,17158
75584,5222
75584,19151
47274,20250
165618,2631
158085,15687
158085,5313
158085,20443
158085,13096
158085,19180
133604,17901
83372,18588
186956,7133
70546,17218
121220,17218
136985,15204
183776,15204
43919,17751
102823,6205
56751,13689
56751,17726
56751,5531
186703,6428
41954,1752
76730,12913
76730,10217
172421,4387
85026,568
147810,568
176318,10879
176318,6682
118407,10399
39883,6268
39504,6268
108364,12585
40381,12585
41774,12585
48621,12585
98997,12585
103049,12699
79987,12699
69460,6893
79230,4012
171775,568
108255,6893
108255,7032
55805,4525
90074,4525
40703,4525
136522,6682
181632,22274
181632,4828
109163,22274
58910,22274
123231,22274
123231,4828
78822,18156
175644,18156
150637,4525
165652,4525
29022,4525
67071,4525
135446,10116
106621,6893
106621,20313
106621,7032
148702,6893
148702,7032
84629,92
84629,16132
142298,10222
93311,14868
111021,14868
80944,14868
184197,14868
92711,12969
58147,12969
40163,12969
63592,14016
26629,6893
183954,16649
35901,16649
30282,16649
138271,16649
117740,9475
123274,21761
149948,14736
106213,14736
103089,14736
153452,14736
183086,12104
78029,12104
145434,10116
33321,15061
113207,18664
37495,16297
88084,6268
88084,9564
115526,17214
38008,15660
82046,3019
148302,3019
54197,18124
89368,19374
45314,18207
118666,259
164888,4381
45203,10879
45203,6682
69370,6682
145605,6682
41634,2444
147618,6682
153691,20048
127060,6268
157809,6268
72134,6268
77635,12585
82959,4012
167390,4012
84987,4012
167096,4012
92079,6893
113288,568
55271,14836
79826,6893
79826,20313
79826,7032
132495,4525
74596,13791
152918,6682
171692,6682
114790,10399
148894,9809
163969,10648
163156,22274
138514,22274
187041,22274
140855,22274
76970,22274
63586,18156
138525,8314
66480,6893
66480,20313
66480,7032
43784,16132
186588,12585
90454,6893
90454,7032
65284,6893
65284,7032
35920,6189
112816,14868
170651,12969
169497,12969
56760,12969
120420,12969
29429,14016
170447,7032
180725,6893
60379,19802
69592,19802
49434,12791
44100,306
27339,306
40122,306
100383,14736
162376,12104
24901,12104
147333,2757
85145,15061
52325,6210
33465,19045
34058,16297
107701,21761
116808,15660
142203,3019
98915,6024
111106,18207
183105,6682
63390,2444
26638,10399
158255,12585
44920,12585
62794,12699
73228,4012
179254,6893
179254,7032
139476,6893
173111,4012
183866,4012
157529,14836
126663,14836
56811,14836
36979,7032
74134,7032
130032,4525
40668,4525
115397,4525
125305,13976
106795,6682
109887,22274
122130,22274
31283,22274
103104,22274
129227,22274
23888,22274
34020,18156
136848,18156
142881,18156
48696,18156
44345,18156
170827,18156
102804,18156
161333,4525
123418,10116
50277,10116
170103,92
170103,750
170103,16132
170103,10399
178788,12699
174459,12585
114448,7032
145575,10879
135147,10879
135147,6682
112623,14868
76479,14868
178531,12969
74352,12969
75017,12969
167137,20313
83084,16649
83084,17367
137969,19802
155145,19802
34609,306
170537,14736
174988,12104
77048,15776
129831,15776
35398,21761
154987,706
178570,19374
178570,14604
178570,14103
178570,21514
178570,2516
178570,9707
123770,1425
123770,16297
89538,19374
92587,19374
152004,19374
154649,6682
96893,2444
121332,6268
99970,6268
175481,18827
62429,18827
169985,12585
133380,12699
107254,12699
179589,4012
119266,4012
134519,6893
66587,4012
168127,7032
32495,4525
104595,4525
139852,4525
96902,4525
143011,4525
24439,4525
24439,8314
155512,4525
80188,13791
39496,6682
120924,10648
169361,22274
140679,22274
58670,18156
22432,18156
178942,18156
80647,7991
80647,6906
143714,4525
55568,6893
55568,7032
80989,6893
78882,6893
46622,16132
80634,92
80634,750
80634,16132
80634,10399
111187,16132
43406,92
43406,750
43406,16132
43406,10399
162547,10222
89878,12585
35327,6024
140276,10879
56215,6210
56215,10879
56215,6682
67911,14868
155441,14868
153592,14868
33664,14868
182179,16297
109434,14378
177792,12969
183961,12969
41176,12969
42174,12969
123721,12969
110717,12969
171250,12969
123343,12969
129417,12969
114409,6893
114409,7032
72689,6893
131645,19802
179089,19802
29986,19802
113806,306
38435,306
113321,21761
126726,14736
124466,13557
83416,6893
164356,12104
124374,12104
54516,12104
89981,3019
154889,15061
112995,16132
115637,6268
93897,17214
124616,19374
135346,12371
109005,12371
70962,6682
149766,8314
38322,4144
180087,6268
106858,6268
68006,13976
68006,6268
76672,12585
43756,12585
180975,12585
70167,12585
137395,12585
67006,12585
183637,4012
181899,4012
117853,14016
117301,7032
42655,7032
26508,4525
64660,4525
82543,10399
74176,10399
160938,22274
132981,22274
148359,18156
26910,18156
73932,18156
46313,7991
46313,6906
87261,4525
56654,4525
160227,4525
92274,5218
92274,10116
53664,92
53664,750
53664,16132
53664,10399
93528,10222
151935,6893
106603,10879
153455,6210
153455,10879
153455,6682
43988,14868
121466,19651
74334,3019
74334,16297
61333,14378
41083,12969
32746,12969
137401,14016
45092,6893
156601,20313
69553,16649
54975,16649
107379,19802
46472,9475
148033,21761
70630,14736
142632,12104
59625,12104
44938,14454
150601,10116
116285,12699
75211,6210
48536,7470
60463,13976
60463,6268
60463,9564
120754,1425
120754,16297
59606,19374
180351,18207
121832,12371
113775,6682
164101,10879
164101,6682
145755,6682
33949,6268
153844,18827
72998,5218
109427,12585
108147,12585
150459,12585
97766,12585
63720,12699
55910,4012
73264,4012
50722,6893
50722,7032
97774,7032
64739,6893
168723,6893
143079,4012
159168,14836
127980,16137
127980,14836
169368,7032
150676,4525
176807,4525
85562,4525
148729,4525
100037,6682
74750,6682
164718,10399
116109,9809
116109,5596
143924,22274
172430,4525
40904,4525
166900,10116
110819,10116
43454,6893
43454,20313
43454,7032
120476,92
120476,750
120476,16132
120476,10399
25078,10222
139660,14868
120399,14868
64521,18750
99308,18750
167742,12969
125190,14016
95883,14016
119917,13323
54860,16649
130711,19802
109690,19802
162998,19802
152437,19802
186591,12791
61712,12791
140737,306
125983,17367
122649,14736
155973,14736
96046,14016
150588,12699
128465,10116
90645,19802
142981,6210
123222,19045
152181,19045
181383,21761
147679,6268
187332,13976
187332,6268
23093,6268
23093,9564
76073,18124
96020,19374
96995,259
140127,10879
140127,6682
111344,20048
127536,22030
166100,4144
22445,12585
158876,12585
70413,12585
182032,12699
176413,12699
125300,4012
51214,4012
71945,4012
108787,7032
121496,6893
27798,6893
27798,7032
105465,4012
82329,4012
78291,14836
102018,6893
102018,7032
35181,4525
147200,4525
62560,4525
105437,4525
85708,4525
85708,8314
173079,3752
183862,3752
180335,6682
125077,10399
105038,9809
105038,5596
47310,10648
165888,22274
92931,22274
96913,7991
96913,6906
71514,7991
71514,6906
110368,7991
110368,6906
56909,4525
66632,4525
34979,10116
179162,10116
118185,92
118185,750
118185,16132
37928,12699
34153,14868
49536,14868
24141,14016
84198,6893
84198,7032
73912,6893
68369,6893
84750,13191
27921,19802
135491,19802
169931,19802
116089,19802
115967,9475
70157,306
27667,10209
106261,6893
78225,6893
78225,7032
130921,6893
130921,20313
146705,12104
94547,12104
161616,14454
25083,10648
98730,10116
124156,19802
97273,4354
31496,5281
31496,4449
31496,11172
50255,19045
66161,16297
96349,16297
127958,3019
79620,19374
131642,19374
181032,6682
154202,6682
125664,2444
120167,6682
169574,22030
83255,10399
